# SignalP-5.0	Organism: Eukarya	Timestamp: 20200731045219
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
Cre06.g305550.t1.2	OTHER	0.052860	0.947140	
Cre06.g294550.t1.2	OTHER	0.029718	0.970282	
Cre06.g296000.t1.2	OTHER	0.001064	0.998936	
Cre06.g283550.t1.1	OTHER	0.001002	0.998998	
Cre06.g290450.t1.2	OTHER	0.000634	0.999366	
Cre06.g285650.t1.2	OTHER	0.000979	0.999021	
Cre06.g292750.t1.2	SP(Sec/SPI)	0.973085	0.026915	CS pos: 26-27. ALA-RR. Pr: 0.7633
Cre06.g304250.t1.1	OTHER	0.001681	0.998319	
Cre06.g269000.t1.2	OTHER	0.001344	0.998656	
Cre06.g306100.t1.2	OTHER	0.000366	0.999634	
Cre06.g306100.t2.1	OTHER	0.000366	0.999634	
Cre06.g278086.t1.1	OTHER	0.001021	0.998979	
Cre06.g301476.t1.1	OTHER	0.012489	0.987511	
Cre06.g268100.t1.2	OTHER	0.002118	0.997882	
Cre06.g278116.t1.1	OTHER	0.008878	0.991122	
Cre06.g294650.t1.2	OTHER	0.002765	0.997235	
Cre06.g308250.t1.2	OTHER	0.000502	0.999498	
Cre06.g265150.t1.1	OTHER	0.002764	0.997236	
Cre06.g310800.t1.1	OTHER	0.001024	0.998976	
Cre06.g308750.t1.2	OTHER	0.001987	0.998013	
Cre06.g254550.t1.2	OTHER	0.000789	0.999211	
Cre06.g260300.t1.2	OTHER	0.000817	0.999183	
Cre06.g260300.t2.1	OTHER	0.000817	0.999183	
Cre06.g296300.t1.1	SP(Sec/SPI)	0.994402	0.005598	CS pos: 22-23. VLA-KK. Pr: 0.7888
Cre06.g296300.t2.1	SP(Sec/SPI)	0.996938	0.003062	CS pos: 21-22. VLA-KK. Pr: 0.9020
Cre06.g278550.t1.2	OTHER	0.037559	0.962441	
Cre06.g306021.t1.1	OTHER	0.000511	0.999489	
Cre06.g260700.t1.2	OTHER	0.001363	0.998637	
Cre06.g258650.t1.2	OTHER	0.001896	0.998104	
Cre06.g299000.t1.2	OTHER	0.000436	0.999564	
Cre06.g305200.t1.1	OTHER	0.001582	0.998418	
Cre06.g278197.t1.1	OTHER	0.002934	0.997066	
Cre06.g292400.t1.1	OTHER	0.003049	0.996951	
Cre06.g292600.t1.1	OTHER	0.003029	0.996971	
Cre06.g275150.t1.2	OTHER	0.001438	0.998562	
Cre06.g294900.t1.2	OTHER	0.000495	0.999505	
Cre06.g272600.t1.2	OTHER	0.034410	0.965590	
Cre06.g306300.t1.2	OTHER	0.000177	0.999823	
Cre06.g253150.t1.2	OTHER	0.155816	0.844184	
Cre06.g257650.t1.2	OTHER	0.000634	0.999366	
Cre06.g301900.t1.1	OTHER	0.002393	0.997607	
Cre06.g301900.t2.1	OTHER	0.002393	0.997607	
Cre06.g274350.t1.2	OTHER	0.000372	0.999628	
Cre06.g287300.t1.2	OTHER	0.053071	0.946929	
Cre06.g301251.t1.1	OTHER	0.000717	0.999283	
Cre06.g277600.t1.2	OTHER	0.001753	0.998247	
Cre06.g287600.t1.1	OTHER	0.000637	0.999363	
Cre06.g278244.t1.1	OTHER	0.000938	0.999062	
Cre06.g290900.t1.1	OTHER	0.000544	0.999456	
Cre06.g271900.t1.2	OTHER	0.000930	0.999070	
Cre06.g271900.t2.1	OTHER	0.000930	0.999070	
Cre06.g252050.t1.2	OTHER	0.009184	0.990816	
Cre06.g266550.t1.2	OTHER	0.000648	0.999352	
Cre06.g278232.t1.1	OTHER	0.002278	0.997722	
Cre06.g251500.t1.2	OTHER	0.000350	0.999650	
Cre06.g281650.t1.2	OTHER	0.023483	0.976517	
Cre06.g248750.t1.1	OTHER	0.000228	0.999772	
Cre06.g275800.t1.2	OTHER	0.002118	0.997882	
Cre06.g310900.t1.2	OTHER	0.005265	0.994735	
Cre06.g254400.t1.1	OTHER	0.038018	0.961982	
Cre06.g278134.t1.1	OTHER	0.000483	0.999517	
Cre06.g284050.t1.2	OTHER	0.000730	0.999270	
Cre06.g278098.t1.1	OTHER	0.000906	0.999094	
Cre06.g250000.t1.2	OTHER	0.000974	0.999026	
Cre06.g297400.t1.1	OTHER	0.023011	0.976989	
Cre06.g298350.t1.2	OTHER	0.000830	0.999170	
Cre06.g295376.t1.1	OTHER	0.003667	0.996333	
Cre06.g283600.t1.2	OTHER	0.000677	0.999323	
Cre06.g302800.t1.2	OTHER	0.001291	0.998709	
Cre06.g279300.t1.2	OTHER	0.000894	0.999106	
Cre06.g255550.t1.1	OTHER	0.001381	0.998619	
Cre06.g255550.t2.1	OTHER	0.001381	0.998619	
Cre06.g253975.t1.2	OTHER	0.001347	0.998653	
Cre06.g253975.t2.1	OTHER	0.008518	0.991482	
Cre06.g274450.t1.1	OTHER	0.002741	0.997259	
Cre06.g262601.t1.1	OTHER	0.002140	0.997860	
Cre06.g253569.t1.1	OTHER	0.005497	0.994503	
Cre06.g250150.t1.2	OTHER	0.002753	0.997247	
Cre06.g250150.t2.1	OTHER	0.056945	0.943055	
Cre06.g278181.t1.1	OTHER	0.038044	0.961956	
Cre06.g278181.t2.1	OTHER	0.014050	0.985950	
Cre06.g303800.t1.2	OTHER	0.006088	0.993912	
Cre06.g270450.t1.1	OTHER	0.000768	0.999232	
Cre06.g278290.t1.1	OTHER	0.006368	0.993632	
Cre06.g256420.t1.2	OTHER	0.005192	0.994808	
Cre06.g287800.t1.2	SP(Sec/SPI)	0.989110	0.010890	CS pos: 21-22. CGG-II. Pr: 0.6667
Cre06.g299300.t1.2	OTHER	0.000539	0.999461	
Cre06.g249101.t1.1	OTHER	0.002974	0.997026	
Cre06.g267650.t1.2	OTHER	0.010372	0.989628	
Cre06.g278190.t1.1	OTHER	0.003648	0.996352	
Cre06.g254175.t1.1	OTHER	0.000473	0.999527	
Cre06.g270900.t1.2	OTHER	0.003326	0.996674	
Cre06.g272250.t1.1	SP(Sec/SPI)	0.962835	0.037165	CS pos: 24-25. GSA-QL. Pr: 0.5899
Cre06.g278285.t1.1	OTHER	0.013470	0.986530	
Cre06.g278247.t1.1	OTHER	0.001572	0.998428	
Cre06.g304913.t1.1	OTHER	0.005695	0.994305	
Cre06.g300139.t1.2	OTHER	0.007475	0.992525	
Cre06.g300139.t2.1	OTHER	0.004914	0.995086	
Cre06.g300139.t3.1	OTHER	0.007857	0.992143	
Cre06.g253750.t1.2	OTHER	0.024951	0.975049	
Cre06.g253750.t2.1	OTHER	0.024951	0.975049	
Cre06.g261300.t1.2	OTHER	0.001804	0.998196	
Cre06.g273800.t1.2	OTHER	0.001377	0.998623	
Cre06.g253350.t1.2	OTHER	0.160941	0.839059	
Cre06.g262850.t1.2	OTHER	0.000166	0.999834	
Cre06.g301100.t1.1	OTHER	0.002123	0.997877	
Cre06.g302250.t1.1	OTHER	0.000903	0.999097	
Cre06.g278209.t1.1	SP(Sec/SPI)	0.951604	0.048396	CS pos: 24-25. ALG-EV. Pr: 0.6623
Cre06.g278209.t2.1	SP(Sec/SPI)	0.951604	0.048396	CS pos: 24-25. ALG-EV. Pr: 0.6623
Cre06.g309200.t1.2	OTHER	0.000986	0.999014	
Cre06.g266850.t1.1	OTHER	0.001888	0.998112	
Cre06.g299800.t1.2	OTHER	0.000932	0.999068	
Cre06.g301400.t1.1	OTHER	0.003593	0.996407	
Cre06.g311350.t1.1	SP(Sec/SPI)	0.983517	0.016483	CS pos: 22-23. TWA-RP. Pr: 0.8472
Cre06.g273100.t1.1	SP(Sec/SPI)	0.904004	0.095996	CS pos: 29-30. AQG-HG. Pr: 0.6618
Cre06.g278222.t1.1	OTHER	0.000836	0.999164	
Cre06.g283250.t1.2	OTHER	0.001233	0.998767	
Cre06.g262500.t1.2	OTHER	0.002729	0.997271	
Cre06.g270726.t1.1	OTHER	0.001936	0.998064	
Cre06.g286050.t1.2	OTHER	0.001799	0.998201	
Cre06.g307100.t1.1	OTHER	0.001837	0.998163	
Cre06.g281563.t1.1	OTHER	0.005618	0.994382	
Cre06.g278101.t1.1	OTHER	0.002040	0.997960	
Cre06.g280450.t1.1	OTHER	0.000850	0.999150	
Cre06.g273850.t1.2	OTHER	0.002118	0.997882	
Cre06.g276001.t1.1	OTHER	0.000838	0.999162	
Cre06.g297300.t1.1	OTHER	0.000943	0.999057	
Cre06.g278160.t1.1	SP(Sec/SPI)	0.928194	0.071806	CS pos: 28-29. CSA-LS. Pr: 0.5592
Cre06.g310500.t1.2	OTHER	0.000599	0.999401	
Cre06.g278249.t1.1	OTHER	0.001245	0.998755	
Cre06.g309350.t1.2	OTHER	0.013614	0.986386	
Cre06.g309050.t1.2	OTHER	0.002737	0.997263	
Cre06.g252800.t1.1	OTHER	0.001644	0.998356	
Cre06.g264750.t1.2	OTHER	0.000731	0.999269	
Cre06.g264700.t1.2	SP(Sec/SPI)	0.988320	0.011680	CS pos: 24-25. CDA-RR. Pr: 0.8295
Cre06.g259100.t1.1	OTHER	0.006776	0.993224	
Cre06.g260776.t1.1	OTHER	0.007691	0.992309	
Cre06.g302150.t1.1	OTHER	0.001559	0.998441	
Cre06.g282700.t1.2	OTHER	0.003500	0.996500	
Cre06.g258100.t1.1	OTHER	0.068875	0.931125	
Cre06.g264150.t1.1	OTHER	0.008356	0.991644	
Cre06.g255050.t1.2	OTHER	0.001111	0.998889	
Cre06.g255050.t2.1	OTHER	0.001111	0.998889	
Cre06.g288500.t1.2	OTHER	0.030221	0.969779	
Cre06.g261100.t1.2	OTHER	0.001047	0.998953	
