# SignalP-5.0	Organism: Eukarya	Timestamp: 20200731051739
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
Cre01.g025983.t1.1	OTHER	0.056976	0.943024	
Cre01.g047400.t1.1	OTHER	0.001338	0.998662	
Cre01.g002900.t1.2	OTHER	0.000692	0.999308	
Cre01.g027575.t1.1	OTHER	0.001162	0.998838	
Cre01.g036000.t1.1	OTHER	0.002986	0.997014	
Cre01.g040379.t1.2	OTHER	0.011228	0.988772	
Cre01.g050000.t1.2	OTHER	0.328267	0.671733	
Cre01.g047900.t1.1	OTHER	0.001661	0.998339	
Cre01.g003100.t1.1	OTHER	0.000764	0.999236	
Cre01.g003100.t2.1	OTHER	0.000764	0.999236	
Cre01.g050500.t1.1	OTHER	0.001519	0.998481	
Cre01.g027600.t1.1	OTHER	0.002053	0.997947	
Cre01.g002100.t1.2	OTHER	0.004324	0.995676	
Cre01.g017701.t1.1	OTHER	0.016635	0.983365	
Cre01.g006301.t1.1	OTHER	0.005126	0.994874	
Cre01.g017150.t1.1	OTHER	0.000738	0.999262	
Cre01.g012126.t1.2	OTHER	0.011781	0.988219	
Cre01.g012126.t2.1	OTHER	0.144894	0.855106	
Cre01.g004900.t1.2	OTHER	0.002785	0.997215	
Cre01.g052300.t1.1	OTHER	0.001327	0.998673	
Cre01.g042150.t1.1	OTHER	0.014231	0.985769	
Cre01.g055444.t1.1	OTHER	0.002683	0.997317	
Cre01.g021100.t1.2	OTHER	0.036643	0.963357	
Cre01.g002227.t1.2	OTHER	0.006003	0.993997	
Cre01.g038500.t1.2	OTHER	0.003866	0.996134	
Cre01.g059617.t1.1	OTHER	0.001752	0.998248	
Cre01.g054800.t1.2	OTHER	0.002019	0.997981	
Cre01.g011000.t1.2	OTHER	0.001099	0.998901	
Cre01.g022800.t1.1	OTHER	0.004958	0.995042	
Cre01.g052100.t1.2	OTHER	0.000414	0.999586	
Cre01.g002700.t1.2	OTHER	0.001145	0.998855	
Cre01.g053700.t1.1	OTHER	0.001799	0.998201	
Cre01.g045350.t1.2	OTHER	0.001012	0.998988	
Cre01.g031004.t1.2	OTHER	0.001619	0.998381	
Cre01.g005534.t1.2	OTHER	0.004309	0.995691	
Cre01.g008150.t1.1	SP(Sec/SPI)	0.980700	0.019300	CS pos: 21-22. AYG-AV. Pr: 0.7148
Cre01.g016556.t1.1	OTHER	0.000594	0.999406	
Cre01.g030300.t1.1	OTHER	0.000984	0.999016	
Cre01.g030300.t2.1	OTHER	0.000984	0.999016	
Cre01.g037150.t1.1	OTHER	0.001173	0.998827	
Cre01.g015400.t1.2	OTHER	0.002944	0.997056	
Cre01.g050451.t1.1	OTHER	0.001509	0.998491	
Cre01.g021550.t1.1	OTHER	0.001261	0.998739	
Cre01.g055151.t1.1	OTHER	0.240821	0.759179	
Cre01.g027850.t1.1	OTHER	0.001059	0.998941	
Cre01.g042950.t1.2	OTHER	0.000566	0.999434	
Cre01.g033950.t1.1	OTHER	0.000236	0.999764	
Cre01.g051300.t1.1	OTHER	0.001069	0.998931	
Cre01.g040533.t1.1	OTHER	0.002588	0.997412	
Cre01.g015100.t1.1	OTHER	0.000693	0.999307	
Cre01.g007600.t1.1	OTHER	0.002473	0.997527	
Cre01.g007600.t2.1	OTHER	0.002473	0.997527	
Cre01.g049350.t1.1	OTHER	0.001304	0.998696	
Cre01.g048450.t1.1	OTHER	0.000610	0.999390	
Cre01.g002200.t1.1	OTHER	0.000620	0.999380	
Cre01.g050624.t1.1	OTHER	0.005090	0.994910	
Cre01.g050624.t2.1	OTHER	0.051127	0.948873	
Cre01.g027750.t1.1	OTHER	0.000333	0.999667	
Cre01.g051466.t1.1	OTHER	0.039016	0.960984	
Cre01.g041950.t1.2	OTHER	0.010795	0.989205	
Cre01.g055400.t1.2	OTHER	0.000145	0.999855	
Cre01.g043817.t1.1	OTHER	0.003512	0.996488	
Cre01.g043817.t2.1	OTHER	0.003512	0.996488	
Cre01.g006402.t1.1	OTHER	0.002847	0.997153	
Cre01.g014900.t1.1	OTHER	0.004188	0.995812	
Cre01.g030968.t1.1	OTHER	0.452523	0.547477	
Cre01.g032900.t1.1	OTHER	0.003446	0.996554	
Cre01.g032900.t2.1	OTHER	0.003446	0.996554	
Cre01.g032900.t3.1	OTHER	0.003446	0.996554	
Cre01.g039300.t1.2	OTHER	0.001335	0.998665	
Cre01.g045150.t1.2	OTHER	0.003249	0.996751	
Cre01.g004300.t1.2	OTHER	0.001490	0.998510	
Cre01.g029500.t1.2	OTHER	0.000808	0.999192	
Cre01.g022150.t1.1	OTHER	0.004021	0.995979	
Cre01.g045400.t1.1	OTHER	0.000453	0.999547	
Cre01.g045400.t2.1	OTHER	0.000994	0.999006	
Cre01.g045400.t3.1	OTHER	0.000453	0.999547	
Cre01.g009900.t1.1	OTHER	0.001679	0.998321	
Cre01.g001657.t1.1	OTHER	0.001804	0.998196	
Cre01.g042900.t1.2	OTHER	0.001170	0.998830	
Cre01.g015950.t1.2	OTHER	0.000898	0.999102	
Cre01.g017200.t1.2	OTHER	0.001350	0.998650	
Cre01.g012244.t1.2	OTHER	0.000891	0.999109	
Cre01.g026550.t1.1	OTHER	0.002234	0.997766	
Cre01.g013550.t1.1	OTHER	0.000583	0.999417	
Cre01.g055448.t1.1	OTHER	0.003578	0.996422	
Cre01.g000300.t1.1	OTHER	0.000490	0.999510	
Cre01.g001450.t1.2	OTHER	0.001122	0.998878	
Cre01.g034650.t1.2	OTHER	0.000938	0.999062	
Cre01.g053150.t1.2	OTHER	0.000804	0.999196	
Cre01.g053150.t2.1	OTHER	0.000804	0.999196	
Cre01.g010500.t1.2	OTHER	0.004155	0.995845	
Cre01.g047350.t1.1	OTHER	0.001220	0.998780	
Cre01.g037800.t1.2	OTHER	0.000377	0.999623	
Cre01.g004926.t1.1	OTHER	0.017065	0.982935	
Cre01.g070567.t1.1	OTHER	0.001351	0.998649	
Cre01.g054200.t1.2	OTHER	0.003936	0.996064	
Cre01.g034000.t1.2	OTHER	0.002037	0.997963	
Cre01.g026600.t1.2	OTHER	0.001208	0.998792	
Cre01.g053300.t1.1	OTHER	0.000684	0.999316	
Cre01.g011500.t1.2	OTHER	0.005161	0.994839	
Cre01.g025300.t1.1	OTHER	0.002229	0.997771	
Cre01.g011450.t1.1	OTHER	0.020812	0.979188	
Cre01.g045825.t1.1	OTHER	0.000770	0.999230	
Cre01.g041500.t1.1	OTHER	0.002953	0.997047	
Cre01.g035450.t1.2	OTHER	0.000748	0.999252	
Cre01.g049117.t1.1	OTHER	0.007615	0.992385	
Cre01.g016050.t1.2	OTHER	0.002761	0.997239	
Cre01.g027150.t1.1	OTHER	0.001836	0.998164	
Cre01.g038550.t1.1	OTHER	0.000411	0.999589	
Cre01.g038100.t1.2	OTHER	0.001809	0.998191	
Cre01.g050950.t1.2	OTHER	0.000294	0.999706	
Cre01.g023550.t1.1	OTHER	0.000448	0.999552	
Cre01.g043250.t1.1	OTHER	0.001980	0.998020	
Cre01.g064362.t1.1	OTHER	0.002392	0.997608	
Cre01.g040150.t1.2	OTHER	0.000324	0.999676	
Cre01.g018950.t1.2	OTHER	0.004321	0.995679	
Cre01.g052500.t1.1	OTHER	0.001285	0.998715	
Cre01.g039450.t1.1	OTHER	0.188213	0.811787	
Cre01.g030100.t1.1	OTHER	0.007203	0.992797	
Cre01.g030100.t2.1	OTHER	0.007203	0.992797	
Cre01.g048400.t1.1	OTHER	0.009013	0.990987	
Cre01.g032139.t1.2	OTHER	0.000940	0.999060	
Cre01.g032400.t1.2	OTHER	0.016472	0.983528	
Cre01.g005100.t1.1	OTHER	0.004554	0.995446	
Cre01.g024100.t1.1	OTHER	0.009987	0.990013	
Cre01.g044250.t1.1	OTHER	0.001249	0.998751	
Cre01.g007651.t1.1	OTHER	0.000908	0.999092	
Cre01.g018600.t1.2	OTHER	0.028420	0.971580	
Cre01.g048550.t1.1	OTHER	0.006925	0.993075	
Cre01.g026850.t1.1	OTHER	0.001401	0.998599	
Cre01.g055469.t1.1	OTHER	0.002255	0.997745	
Cre01.g054750.t1.2	SP(Sec/SPI)	0.787644	0.212356	CS pos: 21-22. ALA-RR. Pr: 0.3042
Cre01.g019450.t1.1	OTHER	0.001899	0.998101	
Cre01.g019450.t2.1	OTHER	0.001899	0.998101	
Cre01.g015650.t1.2	OTHER	0.002695	0.997305	
Cre01.g002050.t1.1	SP(Sec/SPI)	0.859047	0.140953	CS pos: 22-23. TFA-GP. Pr: 0.6443
